stem,detector,bin_name,severity,n_gt,recall
AM_Bing_211,yolo_nano,light,0.2787190079689026,3,0.6666666666666666
AM_Bing_217,yolo_nano,moderate,0.3964115381240845,2,1.0
AM_Bing_222,yolo_nano,heavy,0.4300115704536438,5,1.0
AM_Bing_229,yolo_nano,moderate,0.4045562148094177,7,0.42857142857142855
AM_Bing_232,yolo_nano,clear,0.1229875683784484,15,0.5333333333333333
AM_Bing_242,yolo_nano,moderate,0.4133959412574768,6,0.3333333333333333
AM_Bing_243,yolo_nano,heavy,0.5868090391159058,2,0.5
AM_Bing_274,yolo_nano,moderate,0.4079320430755615,1,0.0
AM_Bing_318,yolo_nano,moderate,0.3954042196273803,11,0.0
AM_Bing_422,yolo_nano,light,0.3361303806304931,10,0.5
AM_Bing_464,yolo_nano,clear,0.146493911743164,1,0.0
AM_Bing_536,yolo_nano,heavy,0.6511955261230469,2,1.0
AM_Bing_640,yolo_nano,clear,0.1579203605651855,13,0.6153846153846154
AM_Bing_727,yolo_nano,heavy,0.4724361300468445,12,0.16666666666666666
AM_Google_019,yolo_nano,moderate,0.383272647857666,26,0.3076923076923077
AM_Google_035,yolo_nano,heavy,0.5919655561447144,2,1.0
AM_Google_067,yolo_nano,moderate,0.3629157543182373,9,0.2222222222222222
AM_Google_10,yolo_nano,clear,0.1588215827941894,19,0.42105263157894735
AM_Google_228,yolo_nano,heavy,0.5723708868026733,3,0.0
AM_Google_244,yolo_nano,heavy,0.709613025188446,2,0.0
AM_Google_246,yolo_nano,heavy,0.4506345987319946,10,0.8
AM_Google_250,yolo_nano,heavy,0.5715831518173218,4,0.75
AM_Google_289,yolo_nano,moderate,0.3719326257705688,1,0.0
AM_Google_309,yolo_nano,heavy,0.6654204726219177,3,0.0
AM_Google_320,yolo_nano,moderate,0.3990859985351562,13,0.8461538461538461
AM_Google_359,yolo_nano,heavy,0.5546637773513794,6,1.0
AM_Google_411,yolo_nano,moderate,0.3797431588172912,3,0.3333333333333333
AM_Google_494,yolo_nano,heavy,0.5718016624450684,3,0.0
AM_Google_525,yolo_nano,clear,0.1985454559326172,11,0.0
AM_Google_617,yolo_nano,heavy,0.5234420299530029,4,0.25
AM_Google_707,yolo_nano,heavy,0.7345753908157349,9,0.3333333333333333
AM_Google_711,yolo_nano,heavy,0.5860940217971802,4,0.0
AM_Google_754,yolo_nano,heavy,0.6362739205360413,2,0.5
AM_Google_768,yolo_nano,heavy,0.5167286992073059,2,0.5
AM_Google_796,yolo_nano,heavy,0.5079423189163208,2,0.5
AM_Google_869,yolo_nano,moderate,0.3573669791221618,3,0.3333333333333333
BD_Baidu_000,yolo_nano,heavy,0.6801228523254395,26,0.0
BD_Baidu_007,yolo_nano,heavy,0.5880522727966309,8,0.125
BD_Baidu_018,yolo_nano,heavy,0.6363841891288757,7,0.2857142857142857
BD_Baidu_022,yolo_nano,moderate,0.3770378232002258,7,0.14285714285714285
BD_Baidu_023,yolo_nano,heavy,0.7123146057128906,2,0.0
BD_Baidu_031,yolo_nano,heavy,0.432214617729187,15,0.6
BD_Baidu_038,yolo_nano,moderate,0.4040632247924804,7,0.7142857142857143
BD_Baidu_039,yolo_nano,heavy,0.4820280075073242,16,0.4375
BD_Baidu_042,yolo_nano,heavy,0.8300937414169312,3,0.3333333333333333
BD_Baidu_045,yolo_nano,heavy,0.5576126575469971,57,0.22807017543859648
BD_Baidu_046,yolo_nano,heavy,0.5385007858276367,4,0.0
BD_Baidu_050,yolo_nano,heavy,0.7160565853118896,8,0.25
BD_Baidu_058,yolo_nano,heavy,0.7105809450149536,6,0.16666666666666666
BD_Baidu_059,yolo_nano,heavy,0.4994387030601501,5,0.2
BD_Baidu_062,yolo_nano,heavy,0.4762152433395386,10,0.3
BD_Baidu_065,yolo_nano,light,0.2701512575149536,16,0.375
BD_Baidu_074,yolo_nano,heavy,0.694084882736206,75,0.013333333333333334
BD_Baidu_076,yolo_nano,heavy,0.5880364179611206,12,0.25
BD_Baidu_078,yolo_nano,heavy,0.6867780685424805,11,0.18181818181818182
BD_Baidu_08,yolo_nano,heavy,0.7492966055870056,12,0.16666666666666666
BD_Baidu_081,yolo_nano,heavy,0.524421215057373,12,0.25
BD_Baidu_084,yolo_nano,heavy,0.5041234493255615,3,0.0
BD_Baidu_087,yolo_nano,heavy,0.474364697933197,11,0.45454545454545453
BD_Baidu_088,yolo_nano,heavy,0.626190185546875,2,0.0
BD_Baidu_095,yolo_nano,heavy,0.6387609839439392,8,0.125
BD_Baidu_097,yolo_nano,heavy,0.4982959032058716,8,0.25
BD_Baidu_10,yolo_nano,heavy,0.5165427923202515,9,0.0
BD_Baidu_102,yolo_nano,heavy,0.5217673778533936,6,0.0
BD_Baidu_104,yolo_nano,heavy,0.5501086711883545,14,0.07142857142857142
BD_Baidu_105,yolo_nano,heavy,0.5099332332611084,9,0.3333333333333333
BD_Baidu_116,yolo_nano,heavy,0.4347577095031738,5,0.0
BD_Baidu_117,yolo_nano,heavy,0.6583077907562256,20,0.05
BD_Baidu_129,yolo_nano,heavy,0.6437456011772156,6,0.5
BD_Baidu_133,yolo_nano,heavy,0.740101158618927,14,0.07142857142857142
BD_Baidu_134,yolo_nano,heavy,0.8155372142791748,3,0.6666666666666666
BD_Baidu_137,yolo_nano,heavy,0.4879652261734009,5,0.0
BD_Baidu_142,yolo_nano,heavy,0.570287823677063,8,0.5
BD_Baidu_143,yolo_nano,heavy,0.4315204620361328,33,0.15151515151515152
BD_Baidu_145,yolo_nano,heavy,0.5601400136947632,11,0.2727272727272727
BD_Baidu_166,yolo_nano,heavy,0.6827273368835449,18,0.05555555555555555
BD_Baidu_174,yolo_nano,light,0.2591952085494995,12,0.25
BD_Baidu_18,yolo_nano,heavy,0.5373189449310303,10,0.2
BD_Baidu_195,yolo_nano,heavy,0.6375797390937805,10,0.4
BD_Baidu_196,yolo_nano,heavy,0.6687162518501282,7,0.0
BD_Baidu_199,yolo_nano,heavy,0.510478138923645,2,0.5
BD_Baidu_200,yolo_nano,heavy,0.6983505487442017,1,0.0
BD_Baidu_201,yolo_nano,heavy,0.7496948838233948,8,0.125
BD_Baidu_208,yolo_nano,heavy,0.6051310300827026,7,0.0
BD_Baidu_209,yolo_nano,heavy,0.6364609003067017,4,0.5
BD_Baidu_211,yolo_nano,heavy,0.4674540162086487,3,0.3333333333333333
BD_Baidu_216,yolo_nano,moderate,0.3522799611091614,6,0.3333333333333333
BD_Baidu_222,yolo_nano,heavy,0.6518779993057251,20,0.1
BD_Baidu_224,yolo_nano,heavy,0.7268120050430298,2,0.0
BD_Baidu_247,yolo_nano,heavy,0.4483353495597839,6,0.16666666666666666
BD_Baidu_249,yolo_nano,heavy,0.8001691102981567,1,0.0
BD_Baidu_250,yolo_nano,heavy,0.552188515663147,6,0.16666666666666666
BD_Baidu_254,yolo_nano,heavy,0.525596022605896,28,0.0
BD_Baidu_256,yolo_nano,heavy,0.605485200881958,7,0.42857142857142855
BD_Baidu_277,yolo_nano,heavy,0.5691952705383301,4,0.75
BD_Baidu_281,yolo_nano,heavy,0.5242184996604919,10,0.5
BD_Baidu_284,yolo_nano,heavy,0.6865075826644897,5,0.0
BD_Baidu_285,yolo_nano,heavy,0.4639666080474853,12,0.9166666666666666
BD_Baidu_29,yolo_nano,moderate,0.3976992964744568,7,1.0
BD_Baidu_291,yolo_nano,heavy,0.6398288607597351,11,0.8181818181818182
BD_Baidu_299,yolo_nano,heavy,0.5454906225204468,13,0.6923076923076923
BD_Baidu_306,yolo_nano,heavy,0.6458613872528076,6,0.0
BD_Baidu_322,yolo_nano,heavy,0.4541752934455871,5,0.2
BD_Baidu_332,yolo_nano,heavy,0.7376083135604858,17,0.0
BD_Baidu_338,yolo_nano,heavy,0.6033002138137817,15,0.06666666666666667
BD_Baidu_347,yolo_nano,heavy,0.6485500335693359,5,0.4
BD_Baidu_355,yolo_nano,heavy,0.6066855788230896,8,0.0
BD_Baidu_375,yolo_nano,heavy,0.6392470598220825,2,1.0
BD_Baidu_383,yolo_nano,heavy,0.4898849725723266,8,0.75
BD_Baidu_385,yolo_nano,heavy,0.5508279204368591,2,0.0
BD_Baidu_388,yolo_nano,heavy,0.6534979343414307,6,0.0
BD_Baidu_389,yolo_nano,heavy,0.4471226334571838,10,0.2
BD_Baidu_391,yolo_nano,heavy,0.5550141334533691,13,0.7692307692307693
BD_Baidu_397,yolo_nano,heavy,0.6362638473510742,3,0.6666666666666666
BD_Baidu_410,yolo_nano,heavy,0.6261348724365234,2,0.5
BD_Baidu_424,yolo_nano,heavy,0.688198447227478,16,0.4375
BD_Baidu_428,yolo_nano,heavy,0.6203415393829346,7,0.2857142857142857
BD_Baidu_451,yolo_nano,heavy,0.4424344301223755,7,0.42857142857142855
BD_Baidu_461,yolo_nano,heavy,0.4503593444824219,12,0.0
BD_Baidu_464,yolo_nano,heavy,0.8128570914268494,12,0.0
BD_Baidu_476,yolo_nano,heavy,0.811652660369873,9,0.0
BD_Baidu_481,yolo_nano,heavy,0.7333604097366333,1,0.0
BD_Baidu_486,yolo_nano,heavy,0.686519980430603,10,0.0
